MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
204,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,2,1,1,1,1,3,1,0,1,0,,1,0,1,0
205,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,3,1,1,1,0,2,4,0,2,0,,1,2,1,0
206,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,3,2,1,1,2,1,2,1,1,3,0,,1,0,1,
207,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,1,1,1,2,1,1,1,,3,0,,1,2,2,
208,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,1,,,1,,,2,,
209,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,0,1,3,1,,,1,1,0,,1,2,2,1
213,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,3,1,1,2,0,2,2,0,1,0,,1,1,1,1
214,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,2,1,1,2,0,2,2,0,1,0,,0,0,1,0
215,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,2,3,3,2,1,2,2,0,1,,,1,0,1,0
216,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,5,2,1,1,3,0,2,1,1,1,0,,0,0,1,1
217,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,1,2,1,2,2,,1,0,,2,0,1,0
218,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,1,2,0,2,2,,1,0,,1,0,1,0
219,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,2,1,2,1,2,2,1,3,0,,0,0,1,0
220,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,1,1,1,2,1,2,2,0,1,0,,1,0,2,0
221,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,1,1,1,2,0,2,2,1,1,0,,2,0,1,0
222,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,3,1,1,3,0,2,1,1,1,0,,2,2,1,0
