MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
6808,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,1,2,1,,2,1,,,1,,0,,2,,,1
6809,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,2,1,,3,3,,,0,,0,,1,,,
6810,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,2,,2,1,,,0,,0,,2,,,
6811,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,3,,2,4,,,1,,0,,2,,,0
6812,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,1,1,3,3,,3,4,,,1,,1,,2,,,0
6813,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,1,3,3,0,,3,4,,,0,,0,,3,,,0
6814,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,1,2,1,,2,3,,,0,,0,,2,,,1
6815,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,0,,2,3,,,1,,0,,1,,,
6816,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,1,,2,1,,,0,,0,,3,,,0
6817,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,1,,2,1,,,1,,0,,1,,,0
6818,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,0,,2,1,,,0,,0,,1,,,
6819,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,2,3,,2,1,,,0,,0,,2,,,0
6820,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,3,2,,2,3,,,0,,1,,2,,,0
6821,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,2,1,1,,3,3,,,1,,0,,2,,,1
6822,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,3,2,,3,4,,,0,,0,,3,,,1
6823,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,3,3,,,1,,0,,1,,,
6824,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,1,1,,2,1,,,1,,0,,2,,,0
6825,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,1,2,,2,4,,,1,,0,,0,,,
6826,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,3,1,,2,3,,,0,,,,0,,,
6827,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,1,,2,4,,,0,,0,,3,,,
6828,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,2,3,,,1,,0,,1,,,
6829,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,2,1,,2,4,,,1,,1,,2,,,1
6830,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,0,,2,4,,,1,,1,,3,,,0
6831,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,0,,2,3,,,0,,0,,3,,,1
6832,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,,,2,1,,,3,,,0,,0,,2,,,
6833,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,1,0,,2,3,,,0,,0,,2,,,
6834,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,,2,1,,,3,,,1,,0,,2,,,
6835,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,3,3,,2,1,,,1,,0,,3,,,0
6836,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,1,,3,4,,,1,,0,,1,,,0
6837,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,1,2,2,,2,4,,,1,,0,,2,,,1
6838,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,5,1,1,,2,4,,,0,,0,,2,,,
6839,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,2,1,,3,4,,,1,,1,,1,,,0
6840,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,1,0,,2,1,,,0,,1,,1,,,0
6841,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,3,3,,2,4,,,1,,0,,2,,,1
6842,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,,2,3,1,,2,,,,,,0,,2,,,
6843,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,2,2,,2,1,,,1,,0,,2,,,0
6844,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,1,1,,2,1,,,0,,0,,2,,,
6845,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,2,1,,2,3,,,1,,0,,1,,,
6846,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,1,2,,1,1,,,1,,0,,1,,,0
6847,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,1,0,,1,3,,,1,,0,,1,,,
6848,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,1,1,,2,3,,,0,,0,,3,,,1
6849,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,1,3,,1,3,,,1,,0,,,,,1
6850,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,3,,3,0,,,1,,0,,1,,,
6851,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,1,,2,4,,,1,,0,,1,,,
6852,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,2,2,,2,0,,,1,,0,,3,,,1
6853,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,1,2,2,,2,0,,,1,,1,,0,,,
6854,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,2,1,,,0,,0,,2,,,0
6855,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,1,5,2,1,,1,3,,,0,,0,,3,,,1
6856,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,,4,3,1,,3,4,,,1,,0,,3,,,0
6857,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,2,,1,1,,,0,,0,,3,,,0
6858,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,2,1,,,1,,0,,2,,,
6859,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,1,1,0,,2,3,,,,,0,,2,,,
6860,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,1,0,,2,1,,,0,,0,,1,,,0
6861,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,3,2,,3,1,,,1,,0,,3,,,
6862,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,1,1,,1,3,,,0,,0,,2,,,0
6863,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,1,,1,1,,,0,,0,,1,,,0
6864,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,2,,2,3,,,1,,0,,1,,,0
6865,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,3,0,,2,4,,,1,,0,,2,,,0
6866,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,,,,,,,,,,,,1,,2,,,
6867,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,1,3,,,0,,0,,3,,,1
6868,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,2,3,,,1,,0,,0,,,
6869,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,,,,,,,,,,,,,,,,,
6870,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,5,1,1,,1,3,,,0,,0,,1,,,
6871,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,4,1,1,,1,2,,,0,,0,,1,,,0
6872,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,1,3,,3,3,,,0,,0,,1,,,
6873,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,1,1,,1,4,,,0,,0,,3,,,0
6874,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,1,,3,,,,,,0,,1,,,0
6875,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,1,2,1,,2,4,,,1,,0,,2,,,0
6876,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,2,,2,3,,,1,,0,,3,,,0
6877,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,1,,2,4,,,0,,0,,2,,,2
6878,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,1,,2,4,,,1,,1,,2,,,0
6879,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,1,1,,2,4,,,1,,0,,2,,,
6880,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,,,,,,,,,,,,0,,,,,
6881,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,1,,1,3,,,0,,1,,1,,,
6882,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,1,4,2,0,,2,3,,,0,,0,,3,,,
6883,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,2,,2,3,,,1,,0,,1,,,0
6884,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,2,1,,2,3,,,0,,0,,2,,,1
6885,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,2,1,,2,3,,,1,,0,,3,,,1
6886,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,1,,1,1,,,1,,0,,1,,,0
6887,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,1,1,3,2,,2,3,,,1,,0,,2,,,0
6888,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,1,,3,0,,,0,,0,,2,,,1
6889,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,2,2,,2,3,,,0,,0,,1,,,
6890,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,2,2,3,,1,3,,,1,,0,,3,,,1
6923,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,4,1,1,,2,3,,,1,,1,,1,2,,0
6933,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,1,4,2,2,,3,1,2,,0,2,,2,,,,
6973,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,3,3,3,1,1,2,3,4,4,,1,1,,1,2,2,0
7064,Asian,EurAsiaH,Hispanic,Guatemalan,Guatemalan,,,2,3,1,1,1,2,0,2,1,0,2,0,3,3,0,2,1
437,European,European,European,CentralEurope,Holland,,,3,4,2,2,,1,2,,,1,,0,,3,1,,1
438,European,European,European,CentralEurope,Holland,,,3,3,2,2,,1,3,,,0,,0,,3,,,2
2884,European,European,European,CentralEurope,Holland,,,2,4,2,3,,1,4,,,,,0,,,,,2
2885,European,European,European,CentralEurope,Holland,,,3,2,2,2,,1,4,,,0,,0,,,,,1
2886,European,European,European,CentralEurope,Holland,,,1,2,2,1,,1,2,,,0,,0,,1,,,2
2887,European,European,European,CentralEurope,Holland,,,2,1,1,1,,2,1,,,0,,0,,2,2,,2
2888,European,European,European,CentralEurope,Holland,,,,2,2,1,,2,3,,,,,1,,1,,,2
6907,Asian,EurAsiaH,Hispanic,Honduras,Honduras,,,1,2,2,1,,3,0,,,1,,1,,2,2,,0
331,Asian,Asian,Asian,Japanese,Japanese,,,2,2,2,2,,3,0,,,0,,0,,2,,,1
332,Asian,Asian,Asian,Japanese,Japanese,,,2,2,1,1,,2,2,,,1,,0,,1,,,2
333,Asian,Asian,Asian,Japanese,Japanese,,,2,2,2,3,,2,0,,,0,,0,,2,,,
334,Asian,Asian,Asian,Japanese,Japanese,,,2,1,1,2,,2,,,,,,1,,2,,,2
1649,Asian,Asian,Asian,Japanese,Japanese,,,2,1,1,1,,2,0,,,1,,1,,2,,,
1684,Asian,Asian,Asian,Japanese,Japanese,,,2,2,2,3,,2,0,,,1,,0,,2,,,1
2372,Asian,Asian,Asian,Japanese,Japanese,,,2,4,3,2,,3,3,,,1,,0,,1,,,1
2373,Asian,Asian,Asian,Japanese,Japanese,,,2,1,2,3,,2,2,,,1,,0,,3,2,,
2374,Asian,Asian,Asian,Japanese,Japanese,,,2,2,1,1,,2,2,,,1,,0,,3,,,1
2375,Asian,Asian,Asian,Japanese,Japanese,,,2,4,2,1,,2,2,,,0,,0,,2,,,2
2376,Asian,Asian,Asian,Japanese,Japanese,,,2,2,2,3,,2,2,,,0,,0,,1,,,2
2377,Asian,Asian,Asian,Japanese,Japanese,,,2,2,1,1,,2,1,,,0,,0,,,,,
2378,Asian,Asian,Asian,Japanese,Japanese,,,2,1,2,1,,2,2,,,1,,0,,2,,,1
2379,Asian,Asian,Asian,Japanese,Japanese,,,2,2,2,2,,2,2,,,0,,0,,3,,,2
2380,Asian,Asian,Asian,Japanese,Japanese,,,2,1,2,3,,2,3,,,1,,0,,1,,,1
5046,African,African,African,EastAfrica,Kenya,,,1,5,2,3,3,3,4,,3,,1,1,2,,2,2,
5169,African,African,African,EastAfrica,Kenya,,,1,3,3,1,3,3,0,1,1,0,1,1,3,3,2,1,0
5170,African,African,African,EastAfrica,Kenya,,,2,3,3,,1,,,2,1,,1,,1,,2,2,
5171,African,African,African,EastAfrica,Kenya,,,1,2,3,2,3,3,0,2,3,0,3,1,3,1,0,,1
5173,African,African,African,EastAfrica,Kenya,,,1,3,3,1,3,3,0,2,4,0,1,1,1,1,2,2,0
5174,African,African,African,EastAfrica,Kenya,,,1,3,2,,1,2,,,1,,1,,2,1,2,3,0
5175,African,African,African,EastAfrica,Kenya,,,1,4,1,,3,2,,2,1,,1,0,1,,1,3,
5180,African,African,African,EastAfrica,Kenya,,,1,1,2,3,3,3,0,,1,,1,0,3,1,2,1,1
5186,African,African,African,EastAfrica,Kenya,,,,2,3,2,2,2,0,2,4,,1,1,1,2,0,3,2
5197,African,African,African,EastAfrica,Kenya,,,2,3,3,2,3,3,0,2,1,,1,0,3,1,1,4,0
5207,African,African,African,EastAfrica,Kenya,,,,1,3,2,3,3,0,2,2,0,1,1,1,1,2,2,1
5042,African,African,African,NorthAfrica,Libya,,,1,1,3,2,2,3,4,2,1,0,1,1,4,1,0,2,1
5027,African,African,African,SouthAfrica,Malawi,,,1,2,3,2,2,3,0,2,2,0,1,1,3,2,2,3,2
5028,African,African,African,SouthAfrica,Malawi,,,1,3,3,2,3,3,0,2,1,,1,1,2,2,0,2,0
5029,African,African,African,SouthAfrica,Malawi,,,,2,3,,3,3,,,1,,,1,2,,2,2,
5030,African,African,African,SouthAfrica,Malawi,,,1,3,2,,1,3,1,2,1,0,,1,2,,1,2,
5031,African,African,African,SouthAfrica,Malawi,,,1,3,2,,2,3,0,,2,,,1,3,,1,2,
5032,African,African,African,SouthAfrica,Malawi,,,1,2,3,1,1,2,0,2,4,0,1,0,,2,0,3,1
5033,African,African,African,SouthAfrica,Malawi,,,1,3,2,1,2,3,4,3,4,,1,1,2,2,1,2,0
5034,African,African,African,SouthAfrica,Malawi,,,1,4,3,,3,3,0,2,1,,2,1,4,,1,2,
5035,African,African,African,SouthAfrica,Malawi,,,,3,2,2,3,3,0,2,4,0,1,0,,1,1,2,0
5036,African,African,African,SouthAfrica,Malawi,,,1,1,3,1,1,2,,,1,,1,0,1,2,2,,0
5037,African,African,African,SouthAfrica,Malawi,,,2,3,2,,1,2,1,,1,,1,,3,,1,2,
5038,African,African,African,SouthAfrica,Malawi,,,1,3,3,1,1,3,,,,,1,0,3,1,1,2,0
5052,African,African,African,SouthAfrica,Malawi,,,1,2,3,1,3,,0,2,1,0,1,0,4,,2,2,1
5053,African,African,African,SouthAfrica,Malawi,,,1,3,3,1,1,2,0,2,1,,1,1,3,3,2,3,1
5054,African,African,African,SouthAfrica,Malawi,,,1,2,3,,1,2,0,2,4,,1,1,3,,1,2,1
5055,African,African,African,SouthAfrica,Malawi,,,2,2,3,2,1,2,1,2,1,1,2,0,3,3,1,3,0
5056,African,African,African,SouthAfrica,Malawi,,,1,3,2,1,2,2,0,2,4,,2,0,1,0,2,2,2
5107,African,African,African,SouthAfrica,Malawi,,,1,2,3,3,3,3,4,2,1,0,1,1,2,2,2,2,1
5209,African,African,African,SouthAfrica,Malawi,,,1,3,2,2,3,2,0,1,1,0,1,1,,3,1,4,1
6906,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,2,1,1,,2,3,,,1,,1,,3,2,,0
6908,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,3,3,2,2,,2,1,,,1,,0,,3,1,,2
6910,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,3,4,1,1,,1,3,,,1,,0,,3,1,,0
6919,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,4,1,1,,1,3,,,0,,0,,3,2,,1
6920,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,3,2,1,,2,1,,,1,,0,,2,2,,0
6922,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,2,2,2,,2,3,,,1,,0,,3,2,,1
6928,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,4,1,1,,1,3,,,,,0,,2,2,,2
6931,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,2,1,,2,1,,,,,0,,1,2,,0
6938,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,1,2,,2,1,1,,1,2,,2,,,2,
6939,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,1,1,,3,3,2,,1,3,,1,,,1,
6943,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,2,2,,2,1,3,,1,2,,2,,,2,
6946,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,3,2,2,,3,4,1,,1,1,,2,,,2,
6947,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,3,1,1,,1,1,2,,0,2,,1,,,,
6951,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,2,2,,2,1,2,,0,2,,1,,,,
6953,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,5,2,3,,3,1,2,,1,1,,3,,,2,
6957,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,3,1,2,,2,4,2,,0,2,,1,,,2,
6960,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,3,1,,3,0,1,,0,1,,3,,,,
6961,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,3,2,2,,2,0,3,,1,2,,2,,,,
6963,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,3,1,2,,1,0,1,,1,2,,2,,,2,
7001,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,1,1,3,1,2,2,2,2,0,1,1,1,2,1,2,0
7028,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,3,4,1,0,1,2,3,2,1,,2,0,3,2,1,1,1
7029,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,1,5,2,2,1,1,3,2,2,0,1,0,4,1,2,3,0
7031,Asian,EurAsiaH,Hispanic,Mexico,Mexico,,,2,3,2,1,3,2,3,2,2,1,2,0,1,1,1,1,0
5043,African,African,African,WestAfrica,Nigeria,,,1,1,3,2,3,3,0,1,1,1,1,0,3,1,2,2,0
5047,African,African,African,WestAfrica,Nigeria,,,1,1,2,2,1,3,1,2,2,0,1,1,3,2,2,2,1
5048,African,African,African,WestAfrica,Nigeria,,,1,1,3,1,3,3,0,1,2,0,1,1,3,1,0,2,0
5104,African,African,African,WestAfrica,Nigeria,,,1,2,2,3,3,2,0,2,2,0,1,1,2,1,2,3,2
5111,African,African,African,WestAfrica,Nigeria,,,1,1,3,1,2,3,0,2,2,0,1,1,2,2,0,2,0
5112,African,African,African,WestAfrica,Nigeria,,,,4,3,,,,0,2,1,,,1,,,0,,
5113,African,African,African,WestAfrica,Nigeria,,,1,1,2,2,2,3,,,4,,1,0,3,2,2,3,0
5114,African,African,African,WestAfrica,Nigeria,,,1,2,2,,1,,3,1,1,0,1,1,,,2,1,1
5115,African,African,African,WestAfrica,Nigeria,,,1,3,3,1,3,3,0,2,2,0,1,1,3,1,1,2,0
5116,African,African,African,WestAfrica,Nigeria,,,2,1,3,2,3,2,0,2,1,0,1,1,2,1,1,1,1
5117,African,African,African,WestAfrica,Nigeria,,,1,3,3,3,1,2,3,2,1,0,1,0,3,1,,1,1
5118,African,African,African,WestAfrica,Nigeria,,,2,2,2,1,1,2,4,2,1,0,1,,3,1,2,3,1
5119,African,African,African,WestAfrica,Nigeria,,,1,2,3,2,1,3,0,3,1,,1,1,3,2,2,1,1
5120,African,African,African,WestAfrica,Nigeria,,,,2,3,2,3,3,0,2,1,,1,1,,1,,2,0
5121,African,African,African,WestAfrica,Nigeria,,,,1,3,3,3,3,0,2,4,,3,1,2,1,,3,0
5122,African,African,African,WestAfrica,Nigeria,,,2,2,3,2,2,3,0,2,2,1,1,0,3,0,2,1,0
5123,African,African,African,WestAfrica,Nigeria,,,2,3,3,1,2,3,0,2,3,1,1,1,2,2,2,2,0
5124,African,African,African,WestAfrica,Nigeria,,,1,2,3,2,3,3,0,1,1,,1,1,3,2,2,1,1
5125,African,African,African,WestAfrica,Nigeria,,,1,1,3,1,2,3,1,2,1,,1,0,2,1,1,1,2
5126,African,African,African,WestAfrica,Nigeria,,,2,2,3,3,2,2,0,2,4,,3,1,3,1,,2,1
5127,African,African,African,WestAfrica,Nigeria,,,1,3,2,3,3,3,0,2,1,1,1,0,,1,0,,0
5128,African,African,African,WestAfrica,Nigeria,,,2,1,2,3,1,2,0,2,1,,1,1,3,1,,,0
5129,African,African,African,WestAfrica,Nigeria,,,,2,3,,3,2,0,1,4,,1,1,,1,0,1,0
5130,African,African,African,WestAfrica,Nigeria,,,1,3,3,2,3,3,0,1,2,,3,1,3,1,0,1,0
5131,African,African,African,WestAfrica,Nigeria,,,1,4,3,0,,,0,2,2,,1,0,,2,0,3,0
5132,African,African,African,WestAfrica,Nigeria,,,,2,3,2,3,2,0,,,,1,1,3,1,0,2,1
5133,African,African,African,WestAfrica,Nigeria,,,1,3,3,1,3,3,1,2,1,0,1,0,3,2,2,1,0
5134,African,African,African,WestAfrica,Nigeria,,,1,1,3,1,3,3,1,2,1,0,1,1,3,1,2,2,0
5135,African,African,African,WestAfrica,Nigeria,,,1,2,2,3,2,2,0,2,3,0,1,0,3,3,2,4,0
5136,African,African,African,WestAfrica,Nigeria,,,,4,3,2,3,3,0,2,1,,1,1,1,0,0,2,0
5137,African,African,African,WestAfrica,Nigeria,,,2,2,3,2,1,3,0,3,1,1,3,0,,1,2,2,0
5138,African,African,African,WestAfrica,Nigeria,,,1,1,3,3,3,2,0,2,1,0,1,0,2,1,0,1,2
5139,African,African,African,WestAfrica,Nigeria,,,1,1,3,2,3,2,0,2,2,,1,1,,2,2,2,0
5140,African,African,African,WestAfrica,Nigeria,,,2,2,3,3,3,2,0,,4,,1,1,1,1,0,2,
5141,African,African,African,WestAfrica,Nigeria,,,1,3,3,1,3,3,0,1,1,1,1,1,,3,1,2,2
5142,African,African,African,WestAfrica,Nigeria,,,2,3,3,1,1,2,1,2,4,0,1,1,2,1,2,2,2
5143,African,African,African,WestAfrica,Nigeria,,,1,1,3,2,3,3,0,2,4,0,3,1,,1,0,,2
5144,African,African,African,WestAfrica,Nigeria,,,1,3,3,0,3,3,4,2,4,,1,0,3,2,0,2,0
5145,African,African,African,WestAfrica,Nigeria,,,,3,,,3,,,,4,,,1,,,0,1,
5146,African,African,African,WestAfrica,Nigeria,,,1,1,3,3,1,3,,,,,2,1,,2,0,2,0
5147,African,African,African,WestAfrica,Nigeria,,,1,2,3,2,1,3,0,1,2,1,1,0,,1,2,1,0
5148,African,African,African,WestAfrica,Nigeria,,,1,5,3,3,1,2,4,2,4,,1,1,3,2,1,2,0
5149,African,African,African,WestAfrica,Nigeria,,,1,3,3,3,1,3,4,2,1,,1,,3,2,2,2,1
5150,African,African,African,WestAfrica,Nigeria,,,1,2,3,1,3,3,0,2,2,0,1,1,3,1,2,2,1
5151,African,African,African,WestAfrica,Nigeria,,,1,1,3,3,2,3,4,2,1,0,1,1,4,2,2,2,0
5152,African,African,African,WestAfrica,Nigeria,,,,2,3,3,3,3,0,,2,,1,1,1,1,2,2,1
5153,African,African,African,WestAfrica,Nigeria,,,,3,3,1,3,3,0,2,1,,1,1,3,1,0,3,0
5154,African,African,African,WestAfrica,Nigeria,,,,3,3,1,3,2,1,2,4,0,2,0,,2,0,1,0
5155,African,African,African,WestAfrica,Nigeria,,,2,2,3,2,2,3,0,2,4,0,1,1,,1,2,2,0
5156,African,African,African,WestAfrica,Nigeria,,,2,3,,1,3,2,1,2,2,0,2,1,3,1,0,4,1
5157,African,African,African,WestAfrica,Nigeria,,,1,3,3,2,2,3,0,2,1,,2,1,,1,2,2,2
5158,African,African,African,WestAfrica,Nigeria,,,2,3,3,1,2,3,0,1,,0,2,1,,1,,3,0
5159,African,African,African,WestAfrica,Nigeria,,,1,1,3,2,3,3,3,2,1,0,1,0,3,1,1,1,0
5160,African,African,African,WestAfrica,Nigeria,,,1,1,3,2,3,3,,,2,,1,,,1,,,0
5161,African,African,African,WestAfrica,Nigeria,,,1,1,3,2,2,2,0,3,4,0,1,1,3,3,0,4,0
5162,African,African,African,WestAfrica,Nigeria,,,1,3,3,2,1,3,4,1,1,0,1,,3,0,2,2,0
5163,African,African,African,WestAfrica,Nigeria,,,1,2,3,1,3,2,,,,,1,1,3,1,2,2,0
5164,African,African,African,WestAfrica,Nigeria,,,2,2,3,2,3,2,0,2,4,0,1,1,3,1,1,3,1
5165,African,African,African,WestAfrica,Nigeria,,,1,3,3,3,1,3,0,2,4,0,1,1,1,1,2,1,1
5166,African,African,African,WestAfrica,Nigeria,,,1,2,3,2,3,3,0,2,1,0,1,1,3,2,2,,1
1380,Asian,Asian,Amerindian,Canada,NWCoast,,Newittee,,4,2,1,1,2,3,,2,0,1,0,,1,0,4,0
1384,Asian,Asian,Amerindian,Canada,NWCoast,,Newittee,,2,2,2,,2,1,1,1,,1,0,,1,0,1,0
1385,Asian,Asian,Amerindian,Canada,NWCoast,,Newittee,2,3,2,1,2,2,0,2,1,,1,,,1,0,1,0
1612,Asian,Asian,Amerindian,Canada,NWCoast,,Newittee,3,3,2,1,2,1,3,2,,1,2,,,1,0,4,0
1356,Asian,Asian,Amerindian,Canada,NWCoast,,Pentlatsch,2,3,2,1,,2,1,2,4,,1,0,,1,0,4,
1358,Asian,Asian,Amerindian,Canada,NWCoast,,Pentlatsch,2,4,3,1,1,2,1,1,1,0,1,1,,1,2,2,2
1352,Asian,Asian,Amerindian,NWAmerindian,NWCoast,,Chehalis,2,3,2,1,1,2,4,2,4,,2,0,,1,2,2,0
1354,Asian,Asian,Amerindian,NWAmerindian,NWCoast,,Chehalis,3,4,3,2,,,0,1,1,,2,0,,1,1,1,0
1355,Asian,Asian,Amerindian,NWAmerindian,NWCoast,,Chehalis,,3,2,1,2,2,,2,1,,3,1,,2,2,2,0
1365,Asian,Asian,Amerindian,NWAmerindian,NWCoast,,Chehalis,1,,2,2,3,2,1,3,2,,2,0,,1,1,3,1
